game_id,mission,player_id,role_name,action,valid,fallback_used
avalon_full_000,0,0,Servant,PASS,True,False
avalon_full_000,0,2,Assassin,SABOTAGE,True,False
avalon_full_000,1,0,Servant,PASS,True,False
avalon_full_000,1,3,Minion,PASS,True,False
avalon_full_000,1,4,Servant,PASS,True,False
avalon_full_000,2,1,Merlin,PASS,True,False
avalon_full_000,2,3,Minion,SABOTAGE,True,False
avalon_full_000,3,1,Merlin,PASS,True,False
avalon_full_000,3,3,Minion,PASS,True,False
avalon_full_000,3,4,Servant,PASS,True,False
avalon_full_000,4,0,Servant,PASS,True,False
avalon_full_000,4,2,Assassin,PASS,True,False
avalon_full_000,4,3,Minion,SABOTAGE,True,False
avalon_full_001,0,3,Assassin,SABOTAGE,True,False
avalon_full_001,0,4,Servant,PASS,True,False
avalon_full_001,1,0,Servant,PASS,True,False
avalon_full_001,1,2,Merlin,PASS,True,False
avalon_full_001,1,4,Servant,PASS,True,False
avalon_full_001,2,2,Merlin,PASS,True,False
avalon_full_001,2,4,Servant,PASS,True,False
avalon_full_001,3,0,Servant,PASS,True,False
avalon_full_001,3,2,Merlin,PASS,True,False
avalon_full_001,3,3,Assassin,SABOTAGE,True,False
avalon_full_001,4,1,Minion,SABOTAGE,True,False
avalon_full_001,4,3,Assassin,PASS,True,False
avalon_full_001,4,4,Servant,PASS,True,False
avalon_full_002,0,1,Servant,PASS,True,False
avalon_full_002,0,3,Minion,SABOTAGE,True,False
avalon_full_002,1,1,Servant,PASS,True,False
avalon_full_002,1,3,Minion,PASS,True,False
avalon_full_002,1,4,Servant,PASS,True,False
avalon_full_002,2,3,Minion,PASS,True,False
avalon_full_002,2,4,Servant,PASS,True,False
avalon_full_002,3,1,Servant,PASS,True,False
avalon_full_002,3,3,Minion,PASS,True,False
avalon_full_002,3,4,Servant,PASS,True,False
avalon_full_003,0,1,Servant,PASS,True,False
avalon_full_003,0,4,Assassin,SABOTAGE,True,False
avalon_full_003,1,0,Merlin,PASS,True,False
avalon_full_003,1,2,Servant,PASS,True,False
avalon_full_003,1,4,Assassin,PASS,True,False
avalon_full_003,2,0,Merlin,PASS,True,False
avalon_full_003,2,2,Servant,PASS,True,False
avalon_full_003,3,1,Servant,PASS,True,False
avalon_full_003,3,3,Minion,SABOTAGE,True,False
avalon_full_003,3,4,Assassin,SABOTAGE,True,False
avalon_full_003,4,1,Servant,PASS,True,False
avalon_full_003,4,3,Minion,PASS,True,False
avalon_full_003,4,4,Assassin,PASS,True,False
avalon_full_004,0,0,Servant,PASS,True,False
avalon_full_004,0,2,Servant,PASS,True,False
avalon_full_004,1,0,Servant,PASS,True,False
avalon_full_004,1,2,Servant,PASS,True,False
avalon_full_004,1,3,Assassin,SABOTAGE,True,False
avalon_full_004,2,2,Servant,PASS,True,False
avalon_full_004,2,3,Assassin,SABOTAGE,True,False
avalon_full_004,3,1,Minion,SABOTAGE,True,False
avalon_full_004,3,3,Assassin,SABOTAGE,True,False
avalon_full_004,3,4,Merlin,PASS,True,False
avalon_full_005,0,0,Assassin,PASS,True,False
avalon_full_005,0,2,Servant,PASS,True,False
avalon_full_005,1,1,Minion,SABOTAGE,True,False
avalon_full_005,1,3,Servant,PASS,True,False
avalon_full_005,1,4,Merlin,PASS,True,False
avalon_full_005,2,0,Assassin,PASS,True,False
avalon_full_005,2,2,Servant,PASS,True,False
avalon_full_005,3,1,Minion,SABOTAGE,True,False
avalon_full_005,3,3,Servant,PASS,True,False
avalon_full_005,3,4,Merlin,PASS,True,False
avalon_full_005,4,0,Assassin,PASS,True,False
avalon_full_005,4,2,Servant,PASS,True,False
avalon_full_005,4,3,Servant,PASS,True,False
avalon_full_006,0,2,Servant,PASS,True,False
avalon_full_006,0,3,Merlin,PASS,True,False
avalon_full_006,1,0,Minion,SABOTAGE,True,False
avalon_full_006,1,2,Servant,PASS,True,False
avalon_full_006,1,3,Merlin,PASS,True,False
avalon_full_006,2,1,Servant,PASS,True,False
avalon_full_006,2,4,Assassin,SABOTAGE,True,False
avalon_full_006,3,1,Servant,PASS,True,False
avalon_full_006,3,3,Merlin,PASS,True,False
avalon_full_006,3,4,Assassin,SABOTAGE,True,False
avalon_full_007,0,1,Assassin,SABOTAGE,True,False
avalon_full_007,0,4,Servant,PASS,True,False
avalon_full_007,1,0,Merlin,PASS,True,False
avalon_full_007,1,2,Minion,SABOTAGE,True,False
avalon_full_007,1,3,Servant,PASS,True,False
avalon_full_007,2,0,Merlin,PASS,True,False
avalon_full_007,2,2,Minion,SABOTAGE,True,False
